source_id,institution,source_title,english_working_title,year,stable_url,source_type,geographic_coverage,data_or_policy_domain,relevance_to_tokyo_chinese_project,use_in_analysis,license_or_access_note,verified_status,notes
R02_OFF_TGT_009,"東京都住宅供給公社 (JKK東京, Tokyo Metropolitan Housing Supply Corporation)",JKK東京 (東京都住宅供給公社),JKK Tokyo (Tokyo Metropolitan Housing Supply Corporation),NA,https://www.to-kousya.or.jp/,quasi_official_service_infrastructure,Tokyo Metropolis,public/affordable rental housing supply and management,quasi-official Tokyo housing-supply body managing public/affordable rental housing; housing-access infrastructure context.,housing_policy_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=housing; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_010,東京都 (Tokyo Metropolitan Government),東京都防災ホームページ,Tokyo Metropolitan Government Disaster Prevention website,NA,https://www.bousai.metro.tokyo.lg.jp/,official_disaster_or_risk_context,Tokyo Metropolis,disaster prevention; evacuation; multilingual disaster information,Tokyo disaster-prevention portal including evacuation guidance and multilingual disaster information; disaster-exposure and risk-communication context.,disaster_or_risk_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=disaster_risk; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_011,国土交通省 (MLIT) / 国土地理院,ハザードマップポータルサイト,Hazard Map Portal Site (MLIT),NA,https://disaportal.gsi.go.jp/,official_open_data_catalogue,Japan (by municipality; incl. Tokyo region),flood/earthquake/landslide hazard maps; risk exposure,"national hazard-map portal (flood, earthquake, sediment) for constructing the disaster-exposure layer across Tokyo-region municipalities.",disaster_or_risk_context,Official catalogue/data page; dataset NOT downloaded; access/license and data usability to confirm manually,verified_by_official_catalogue,"Targeted official-source search round02; domain=disaster_risk. Verified by official catalogue page (2026-06-21): HTTPS GET of https://disaportal.gsi.go.jp/ returned HTTP 200 with page title 'ハザードマップポータルサイト'. The earlier hold was a TLS handshake timeout in the sandbox. Operated by MLIT/GSI; provides flood, sediment, storm-surge, and tsunami hazard maps and serves as an official spatial-data/catalogue portal for the disaster-exposure layer. No hazard data file downloaded; data usability/license to confirm manually before use."
R02_OFF_TGT_012,"内閣府 (Cabinet Office, Disaster Management)",内閣府 防災情報のページ,Cabinet Office Disaster Management website,NA,https://www.bousai.go.jp/,official_policy_context,Japan,national disaster-management policy and guidance,"national disaster-management policy context, including guidance on foreign residents and vulnerable populations; risk-policy interpretation.",disaster_or_risk_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=disaster_risk; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_013,公益財団法人東京都つながり創成財団 (Tokyo Metropolitan Foundation 'Tsunagari'),東京都つながり創成財団 / 東京都多言語生活情報,Tokyo Metropolitan Foundation Tsunagari / Tokyo multilingual living information,NA,https://www.tsunagari-tokyo.jp/,quasi_official_service_infrastructure,Tokyo Metropolis,multilingual living information; foreign-resident support,Tokyo Metropolitan quasi-official foundation providing multilingual living information and foreign-resident support; core multilingual administrative-service infrastructure for Tokyo.,multilingual_administrative_context,Official web page; not downloaded; access/license to confirm manually,hold_for_manual_check,"Targeted official-source search round02; domain=multilingual_service. Re-checked (2026-06-21): HTTPS GET of https://www.tsunagari-tokyo.jp/ still failed with SSL UNEXPECTED_EOF_WHILE_READING under strict and legacy TLS in this sandbox (likely environment/TLS blocking, not necessarily a dead site). Institution is a recognized Tokyo Metropolitan quasi-official foundation providing multilingual living information and foreign-resident support; identity and relevance are sound but the live page could not be reached here. Kept hold_for_manual_check: confirm the live page, structure, multilingual resources, and license manually. No PDF downloaded."
R02_OFF_TGT_014,"東京都国際交流委員会 (Tokyo International Communication Committee, TICC)",東京都国際交流委員会 (TICC),Tokyo International Communication Committee (TICC),NA,https://www.tokyo-icc.jp/,quasi_official_service_infrastructure,Tokyo Metropolis,international exchange; multilingual/foreign-resident support,Tokyo international-exchange body providing foreign-resident information and support; multilingual administrative-service context for Tokyo.,multilingual_administrative_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=multilingual_service; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_015,出入国在留管理庁 (Immigration Services Agency of Japan),外国人生活支援ポータルサイト,Support Portal for Foreign Residents (ISA),NA,https://www.moj.go.jp/isa/support/portal/index.html,official_service_context,Japan (multilingual),multilingual administrative-service guidance for foreign residents,"national multilingual portal of administrative-service guidance for foreign residents (living, work, disaster, health, education); service-access context.",multilingual_administrative_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=multilingual_service; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_016,一般財団法人自治体国際化協会 (CLAIR),CLAIR 多文化共生ポータルサイト,CLAIR Multicultural Coexistence Portal,NA,https://www.clair.or.jp/,quasi_official_service_infrastructure,Japan (nationwide local governments),municipal multicultural coexistence; multilingual support resources,CLAIR's official portal of municipal multicultural-coexistence and multilingual resources; complements the CLAIR periodical record R02_NDL_OFF_002 with the live institutional portal.,multilingual_administrative_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=multilingual_service; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_017,文部科学省 (MEXT),CLARINET 外国人児童生徒等の教育,CLARINET: education for foreign children and students (MEXT),NA,https://www.mext.go.jp/a_menu/shotou/clarinet/,official_health_welfare_education_context,Japan,education for foreign children; school enrolment support,national policy/resource hub for education of foreign children; education service-access context for foreign-resident families.,health_welfare_education_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=health_welfare_education; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_018,"厚生労働省 (Ministry of Health, Labour and Welfare)",厚生労働省 (外国人の医療・福祉関連情報),"MHLW (foreign-resident health, welfare and labour information)",NA,https://www.mhlw.go.jp/,official_health_welfare_education_context,Japan,"health, welfare and labour policy incl. foreign residents",national health/welfare/labour ministry; foreign-resident medical-access and welfare policy context (specific sub-pages to confirm manually).,health_welfare_education_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=health_welfare_education; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_019,埼玉県 (Saitama Prefecture),埼玉県 多文化共生 / 外国人住民支援,Saitama Prefecture multicultural coexistence / foreign-resident support,NA,https://www.pref.saitama.lg.jp/,municipal_context_source,Saitama Prefecture (Tokyo metropolitan region),prefectural multicultural / foreign-resident support policy,Saitama prefectural portal (e.g. Kawaguchi/Warabi have notable Chinese-resident concentrations); municipal/prefectural service-context for the wider Tokyo region. Confirm specific multicultural page manually.,municipal_context_source,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=municipal_prefectural; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_020,千葉県 (Chiba Prefecture),千葉県 多文化共生 / 外国人県民支援,Chiba Prefecture multicultural coexistence / foreign-resident support,NA,https://www.pref.chiba.lg.jp/,municipal_context_source,Chiba Prefecture (Tokyo metropolitan region),prefectural multicultural / foreign-resident support policy,Chiba prefectural portal for foreign-resident support; municipal/prefectural service-context for the wider Tokyo region. Confirm specific multicultural page manually.,municipal_context_source,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=municipal_prefectural; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
R02_OFF_TGT_021,"公益財団法人かながわ国際交流財団 (Kanagawa International Foundation, KIF)",かながわ国際交流財団 (KIF),Kanagawa International Foundation (KIF),NA,https://www.kifjp.org/,quasi_official_service_infrastructure,Kanagawa Prefecture (Tokyo metropolitan region),multilingual support; foreign-resident services; multicultural resources,Kanagawa quasi-official international foundation providing multilingual support and foreign-resident resources; service-infrastructure context for the Tokyo region.,multilingual_administrative_context,Official web page; not downloaded; access/license to confirm manually,verified_by_official_page,"Targeted official-source search round02; domain=municipal_prefectural; reachability check: HTTP 200; PDF link recorded only if applicable, file not downloaded; manual verification recommended."
