inventory_id,file_name,local_path,inferred_survey_time,file_size_bytes,source_format,sheet_names,selected_sheet,header_row,row_count,column_count,municipality_code_available,municipality_code_field,municipality_code_5digit_possible,prefecture_municipality_field_available,china_field_or_category_available,total_foreign_field_available,value_field_available,value_numeric,residence_status_dimension_available,total_status_available,china_filtered,target_prefectures_present,usable_for_chinese_stock,usable_for_total_foreign_stock,usable_for_panel_normalization,risk_level,recommended_next_action,notes
INV_022,23-06-03.xlsx,data_raw/isa_estat/23-06-03.xlsx,2023-06,191569,wide_municipality_nationality_table,23-06-03,23-06-03,2,1966,18,YES,市区町村コード,YES,YES,YES,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,YES,YES,YES,low,normalize_with_wide_parser,wide table with 市区町村コード + China; includes 10 aggregate rows (filter); matched 250/251
INV_023,23-12-t2.xlsx,data_raw/isa_estat/23-12-t2.xlsx,2023-12,7361267,long_t2_municipality_nationality_status_table,注意事項;PVT;令和５年末,注意事項,None,7,12,YES,name-based: prefecture/city/ward names (no code column),YES,YES,UNCLEAR,UNCLEAR,YES,YES,UNCLEAR,YES,NO,UNCLEAR,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_t2_parser,raw long t2 (nationality x residence-status x municipality); has municipality code; china_values extract preferred where available
INV_024,23-12-t2_china_values.xlsx,data_raw/isa_estat/23-12-t2_china_values.xlsx,2023-12,74016,china_values_extracted_table,Sheet1,Sheet1,1,1806,4,YES,市区町村コード,YES,YES,YES,NO,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,YES,NO,YES,low,use_china_values_file,China-filtered value file; matched 245/251; zero-fill 6
INV_025,24-06-t2.xlsx,data_raw/isa_estat/24-06-t2.xlsx,2024-06,7303671,long_t2_municipality_nationality_status_table,注意事項;PVT;令和６年６月末,注意事項,None,7,12,YES,name-based: prefecture/city/ward names (no code column),YES,YES,UNCLEAR,UNCLEAR,YES,YES,UNCLEAR,YES,NO,UNCLEAR,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_t2_parser,raw long t2 (nationality x residence-status x municipality); has municipality code; china_values extract preferred where available
INV_026,24-06-t2_china_values.xlsx,data_raw/isa_estat/24-06-t2_china_values.xlsx,2024-06,72729,china_values_extracted_table,Sheet1,Sheet1,1,1757,4,YES,市区町村コード,YES,YES,YES,NO,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,YES,NO,YES,low,use_china_values_file,China-filtered value file; matched 246/251; zero-fill 5
INV_027,24-12-t2_all_pivot.xlsx,data_raw/isa_estat/24-12-t2_all_pivot.xlsx,2024-12,4689277,pivot_all_table,注意事項;PVT,注意事項,5,9,14,UNCLEAR,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,NO,UNCLEAR,YES,YES,YES,YES,NO,UNCLEAR,NO,PARTIAL,PARTIAL,medium,inspect_manually,pivot layout (intermediate); prefer the corresponding *_values extract for panel input
INV_028,24-12-t2_all_values.xlsx,data_raw/isa_estat/24-12-t2_all_values.xlsx,2024-12,79169,all_values_extracted_table,Sheet1,Sheet1,1,1892,4,YES,市区町村コード,YES,YES,NO,YES,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,NO,YES,PARTIAL,low,inspect_manually,"all-foreigner value file; matched 250/251 (total foreign, not China)"
INV_029,24-12-t2_china_pivot.xlsx,data_raw/isa_estat/24-12-t2_china_pivot.xlsx,2024-12,4698803,pivot_china_table,注意事項;PVT,注意事項,5,9,14,UNCLEAR,name-based: prefecture/city/ward names (no code column),PARTIAL,YES,YES,UNCLEAR,YES,YES,YES,YES,YES,UNCLEAR,PARTIAL,NO,PARTIAL,medium,use_china_values_file,pivot layout (intermediate); prefer the corresponding *_values extract for panel input
INV_030,24-12-t2_china_values.xlsx,data_raw/isa_estat/24-12-t2_china_values.xlsx,2024-12,73108,china_values_extracted_table,Sheet1,Sheet1,1,1763,4,YES,市区町村コード,YES,YES,YES,NO,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,YES,NO,YES,low,use_china_values_file,China-filtered value file; matched 245/251; zero-fill 6
INV_031,25-06-t2.xlsx,data_raw/isa_estat/25-06-t2.xlsx,2025-06,5883188,long_t2_municipality_nationality_status_table,注意事項;PVT,注意事項,5,9,14,YES,name-based: prefecture/city/ward names (no code column),YES,YES,UNCLEAR,UNCLEAR,YES,YES,YES,YES,NO,UNCLEAR,PARTIAL,PARTIAL,PARTIAL,medium,normalize_with_t2_parser,raw long t2 (nationality x residence-status x municipality); has municipality code; china_values extract preferred where available
INV_032,25-06-t2_china_values.xlsx,data_raw/isa_estat/25-06-t2_china_values.xlsx,2025-06,79728,china_values_extracted_table,Sheet1,Sheet1,1,1765,5,YES,市区町村コード,YES,YES,YES,NO,YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,YES,YES,YES,NO,YES,low,use_china_values_file,China-filtered value file; matched 247/251; zero-fill 4
