readiness_id,source_id,source_institution,source_title,concept_dimension,candidate_variable_name,data_needed,exact_table_or_layer_to_identify,expected_year_or_period,expected_geographic_unit,expected_spatial_granularity,expected_temporal_granularity,access_route_to_confirm,download_or_api_method_to_confirm,expected_file_format_or_api_response,license_or_terms_to_confirm,join_key_or_spatial_link_to_confirm,crs_or_coordinate_system_to_confirm,preprocessing_to_plan,metadata_to_record,storage_plan_after_approval,repo_safety_requirement,current_readiness_status,blocking_issue,priority_level,recommended_next_action,notes
DAR_011,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,Distance to nearest station,Computed nearest-distance to station,Computed from DAR_009 station points,Matches station-layer version,National GIS incl. Tokyo region,Area centroid/mesh to point,Version snapshot,Derived (no new access),Spatial computation,Derived numeric field,Inherits DAR_009 terms (no separate license),Origin geometry to station points,CONFIRM: common projected CRS,Define origin geometry (centroid vs mesh); compute nearest distance in projected CRS,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_crs_check,Requires CRS alignment and origin-geometry choice,P1_before_spatial_analysis,Define origin geometry and projected CRS; compute after layer confirmed,Core accessibility variable
DAR_012,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,Rail station density,Stations per unit area,Computed from DAR_009 and DAR_008,Matches layer versions,National GIS incl. Tokyo region,Stations per municipality/mesh,Version snapshot,Derived (no new access),Spatial computation,Derived numeric field,Inherits DAR_008/DAR_009 terms,Boundary polygon + station points,CONFIRM: common projected CRS,Count stations per area; divide by projected area,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_crs_check,Sensitive to boundary and area denominator,P1_before_spatial_analysis,Confirm boundary/station layers and CRS before computing,Supporting accessibility variable
DAR_013,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,spatial_reference,Area denominator,Area (km2) per municipality/ward,Derived from DAR_008 boundary polygons,Matches boundary version,National GIS incl. Tokyo region,Polygon area,Version snapshot,Derived (no new access),Spatial computation,Derived numeric field,Inherits DAR_008 terms,JIS municipality code,CONFIRM: projected CRS for area,Compute polygon area in projected CRS,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_crs_check,Area depends on CRS/projection choice,P1_before_spatial_analysis,Fix projected CRS for area computation,Denominator for densities
DAR_014,R02_OFF_TGT_006,Geospatial Information Authority of Japan (GSI),GSI Maps / base maps,spatial_reference,CRS / basemap / geospatial reference,Base map and coordinate reference,GSI tiles vs Fundamental Geospatial Data (Kiban Chizu Joho),Continuously maintained,Japan base maps incl. Tokyo region,Tiles + fundamental vector,Current,GSI site / GSI Maps,Tile use or Fundamental data download (registration),Map tiles + vector,CONFIRM: GSI Terms (tiles attribution; fundamental data registration),CRS/geocoding reference,CONFIRM: reference CRS,Set common CRS; clarify basemap-only vs data-source role,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_crs_check,Tile vs fundamental-data terms differ; registration may apply,P1_before_spatial_analysis,"Confirm tiles vs fundamental-data terms, registration, and reference CRS",Reachable only via legacy-TLS in sandbox
DAR_015,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,housing_context,Public housing policy context,Qualitative public-housing policy context,Policy pages (no dataset),Current,Tokyo Metropolis,Metropolitan / policy,Current,Official web page,No download (read context),Web pages,Context terms only (no download license gate),Not spatial,Not applicable (context),Summarize policy provisions; no quantitative extraction,"source URL, retrieval date, citation",No storage (context only),No download; context use only; no raw data committed,context_only_no_download,No official spatial housing dataset confirmed,P2_context,Confirm whether any public-housing dataset exists before any variable use,"Literature IDs R02_NDL_043/R02_CINII_001/R02_JSTAGE_002 are literature context only, not data sources"
DAR_016,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,housing_context,Public housing availability context,Public/Toei housing availability context,Check whether any structured availability dataset exists,Current,Tokyo Metropolis,Metropolitan / policy,Current,Official web page,No download unless dataset confirmed,Web pages (dataset TBD),Context terms only unless a dataset is confirmed,Not spatial (unless dataset found),Not applicable (context),Determine if availability data exist; otherwise treat as context,"table/layer ID, vintage, source URL, retrieval date, license, source citation",No storage unless dataset approved,No download; context use only; no raw data committed,context_only_no_download,No variable-ready housing dataset confirmed,P2_context,Search for structured availability dataset later; do not invent point data,Context only for now
DAR_017,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,housing_context,Housing-support policy context,Housing support/consultation context,Policy/consultation pages (no dataset),Current,Tokyo Metropolis,Metropolitan / policy,Current,Official web page,No download (read context),Web pages,Context terms only (no download license gate),Not spatial,Not applicable (context),Summarize support/consultation provisions,"source URL, retrieval date, citation",No storage (context only),No download; context use only; no raw data committed,context_only_no_download,"Interpretive context, not a quantitative variable",P2_context,Identify any structured housing-support dataset if pursued,Supports housing-constraint interpretation
DAR_018,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,housing_context,Residential land-use proxy layer,Residential land-use classification,NLNI land-use layer (tochi riyo),Layer version/year to confirm,National GIS incl. Tokyo region,Polygon/mesh land-use class,Version snapshot,NLNI download site (per-layer),Manual layer download,Shapefile/GeoJSON/GML,CONFIRM: NLNI per-layer Terms of Use (Riyo Yakkan),Spatial overlay with boundaries,CONFIRM: layer CRS,Select land-use layer; reclassify residential; spatial join,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,"Land use is a proxy, not direct housing supply",P1_before_spatial_analysis,"Confirm exact NLNI land-use layer, vintage, and license",Proxy only; not a public-housing dataset
DAR_019,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,disaster_risk_exposure,Flood hazard exposure,Flood-inundation zone exposure,NLNI flood-zone layer (shinsui sotei kuiki),Hazard designation version/year to confirm,National GIS incl. Tokyo region,Polygon hazard zone,Version snapshot,NLNI download site (per-layer),Manual layer download,Shapefile/GeoJSON/GML,CONFIRM: NLNI per-layer Terms of Use (Riyo Yakkan),Overlay with area units,CONFIRM: layer CRS,Overlay flood zones with boundaries; pick scenario/depth threshold,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,Multiple scenarios/depths; threshold choice affects indicator,P1_before_spatial_analysis,"Confirm exact NLNI flood-zone layer, scenario, and license",Best exposure route; portal (011) for cross-reference
DAR_020,R02_OFF_TGT_011,MLIT / GSI,Hazard Map Portal Site,disaster_risk_exposure,Landslide / sediment risk exposure,Sediment-disaster hazard exposure,Sediment-hazard layer (dosha saigai) via NLNI / portal,Hazard designation version/year to confirm,Japan by municipality incl. Tokyo region,Polygon/zone,Version snapshot,Hazard Map Portal (underlying via NLNI),Confirm downloadable layer (likely via NLNI),GIS layer or portal overlay,CONFIRM: NLNI/portal terms for sediment-hazard layer,Overlay with area units,CONFIRM: layer CRS,Identify sediment-hazard layer; classify area exposure,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_exact_layer_identification,Downloadable vs view-only unclear; portal access intermittent,P1_before_spatial_analysis,Confirm sediment-hazard layer availability and license via NLNI,Prefer NLNI for extraction
DAR_021,R02_OFF_TGT_011,MLIT / GSI,Hazard Map Portal Site,disaster_risk_exposure,Hazard map context / portal suitability,Determine portal as context vs data source,Confirm portal overlays vs downloadable layers,Current,Japan by municipality incl. Tokyo region,Polygon hazard zones,Current,Hazard Map Portal landing/catalogue,Confirm reachability and download vs view-only,Web overlays; downloadable TBD,CONFIRM: portal terms and whether download is permitted,Links to NLNI layers,CONFIRM: CRS if data extracted,Decide whether to use portal directly or NLNI layers,"table/layer ID, vintage, source URL, retrieval date, license, source citation",Ignored data folder or outside-repo working folder (only after user approval),Do not commit raw data to public repo; no large files; metadata required per file,needs_access_route_check,Portal access intermittent in sandbox (HTTP 200 on 2026-06-21),P2_context,Re-check portal access outside sandbox; prefer NLNI for data,Catalogue/cross-reference role
DAR_022,R02_OFF_TGT_010,Tokyo Metropolitan Government (Sogo Bosaibu),Tokyo Metropolitan Government Disaster Prevention website,disaster_risk_exposure,Evacuation / disaster-prevention context,Disaster-prevention and evacuation context,Policy/guidance pages (no primary dataset),Current,Tokyo Metropolis,Metropolitan / policy,Current,Official web page,No download (read context),Web pages / guidance,Context terms only (no download license gate),Not spatial,Not applicable (context),Summarize disaster-prevention and multilingual disaster info,"source URL, retrieval date, citation",No storage (context only),No download; context use only; no raw data committed,context_only_no_download,"Context/guidance, not a primary dataset",P2_context,Use as disaster context; draw quantitative exposure from NLNI/portal,Context complement to DAR_019/DAR_020
DAR_023,R02_OFF_TGT_013,Tokyo Metropolitan Foundation Tsunagari,Tokyo Metropolitan Foundation Tsunagari / Tokyo multilingual living information,multilingual_administrative_services,Multilingual administrative service context,Multilingual living-information service context,Confirm live page and stable multilingual resource pages,Current,Tokyo Metropolis,Metropolitan service context,Current,Official web page (manual browser check),No automated access (manual check required),Web pages,CONFIRM after access restored (currently unconfirmed),Not spatial,Not applicable (context),Manual review of live page once reachable; no quantitative extraction,"source URL, retrieval date, citation",No storage (context only),No download; context use only; no raw data committed,hold_due_to_access_issue,Live page not reachable in sandbox (SSL UNEXPECTED_EOF),hold,Open TSUNAGARI in a normal browser; confirm resources and license,Identity/relevance sound but held
DAR_024,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,multilingual_administrative_services,Foreign resident support service context,Municipal multilingual support context,Identify specific citable CLAIR resources,Current,Japan nationwide local governments,National / municipal policy context,Current,Official web page,No download (read context),Web pages / resources,Context terms only (no download license gate),Not spatial,Not applicable (context),Identify specific citable resources; do not over-interpret as quantitative,"table/layer ID, vintage, source URL, retrieval date, license, source citation",No storage (context only),No download; context use only; no raw data committed,context_only_no_download,Context only; not direct variable construction,P2_context,Select specific CLAIR resources to cite as context,Complements forum record R02_NDL_OFF_002
DAR_025,R02_NDL_OFF_002,Council of Local Authorities for International Relations (CLAIR),Local Government and International Relations Forum (CLAIR periodical),municipal_policy_context,Service infrastructure / internationalization context,Municipal internationalization background,Optional: specific CLAIR forum issues (NDL metadata),Periodical issues (e.g. 2005),Japan nationwide local governments,National (periodical),Periodical,NDL metadata record,No download (metadata/background),Periodical (metadata only),Context terms only (NDL metadata; access unverified),Not spatial,Not applicable (background),Optional review of specific issues; background only,"source URL, retrieval date, citation",No storage (background only),No download; context use only; no raw data committed,context_only_no_download,Background only; not Tokyo-China specific,P3_background,Optionally cite specific forum issues as background,Metadata-only; complements portal R02_OFF_TGT_016
DAR_026,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,opportunity_risk_composite,Opportunity component: housing,Planned housing opportunity component,Component inputs to finalize (after housing rows),Planning only,Analysis unit (TBD),Analysis unit (TBD),Planning only,Not applicable (derived),Not applicable (derived),Planning (no data),Not applicable (derived),Depends on housing rows,Not applicable (TBD),Finalize inputs; normalization; weighting/typology; sensitivity plan,"component definitions, weights, sources",No storage (planning),No download; context use only; no raw data committed,not_ready,Component variables not finalized; weighting undefined,hold,Finalize housing inputs and normalization/weighting later,Planning row only
DAR_027,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Opportunity component: transit/accessibility,Planned accessibility opportunity component,Component inputs to finalize (after transit rows),Planning only,Analysis unit (TBD),Analysis unit (TBD),Planning only,Not applicable (derived),Not applicable (derived),Planning (no data),Not applicable (derived),Depends on transit rows,Not applicable (TBD),Finalize accessibility inputs; normalization; weighting; sensitivity plan,"component definitions, weights, sources",No storage (planning),No download; context use only; no raw data committed,not_ready,Inputs feasible but composite undefined,hold,Finalize accessibility inputs and combination rule later,Planning row only
DAR_028,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,opportunity_risk_composite,Opportunity component: service/multilingual support,Planned service opportunity component,Determine whether service context can be operationalized,Planning only,Analysis unit (TBD),Analysis unit (TBD),Planning only,Not applicable (derived),Not applicable (derived),Planning (no data),Not applicable (derived),Depends on service rows,Not applicable (TBD),Decide if service context is quantifiable; normalization; weighting,"component definitions, weights, sources",No storage (planning),No download; context use only; no raw data committed,not_ready,Service inputs largely context-only; quantification uncertain,hold,Determine operationalization before inclusion,Planning row only
DAR_029,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Risk component: disaster/hazard exposure,Planned hazard exposure risk component,Component inputs to finalize (after hazard rows),Planning only,Analysis unit (TBD),Analysis unit (TBD),Planning only,Not applicable (derived),Not applicable (derived),Planning (no data),Not applicable (derived),Depends on hazard rows,Not applicable (TBD),Finalize hazard inputs; exposure scoring; normalization; sensitivity plan,"component definitions, weights, sources",No storage (planning),No download; context use only; no raw data committed,not_ready,Hazard inputs feasible via NLNI but weighting undefined,hold,Define hazard inputs and exposure scoring later,Planning row only
DAR_030,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Typology / mismatch classification,Planned opportunity-risk mismatch typology,Typology rule to define after components,Planning only,Analysis unit (TBD),Analysis unit (TBD),Planning only,Not applicable (derived),Not applicable (derived),Planning (no data),Not applicable (derived),Depends on DAR_026-029,Not applicable (TBD),Define typology/threshold logic; sensitivity; transparency/reproducibility,"typology rules, thresholds, rationale",No storage (planning),No download; context use only; no raw data committed,not_ready,Typology requires all components and transparent rules,hold,Define typology rules after components are constructed,Planning row only; central construct
