variable_id,concept_dimension,candidate_variable_name,variable_type,expected_measure,source_id,source_institution,source_title,use_in_project,expected_geographic_unit,expected_spatial_granularity,expected_temporal_unit,expected_temporal_coverage,data_access_route,expected_file_or_api_type,key_join_field_or_spatial_link,preprocessing_required,derived_variable_logic,license_or_terms_status,feasibility_status,priority_level,risk_or_limitation,manual_check_required_before_use,recommended_next_action,notes
ODV_011,transit_accessibility,Distance to nearest rail station,distance_accessibility,Distance from residential unit/centroid to nearest station,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,National GIS incl. Tokyo region,Point (station) to area centroid/grid,Layer-specific vintage,Vintage varies by layer,NLNI download site (railway/station layer),GIS files (Shapefile/GeoJSON/GML),Spatial proximity to station points; CRS-aligned,Download station points; compute nearest-distance from area centroids/mesh,nearest_station_distance = min distance to station point,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P1_core_variable,Requires CRS alignment and choice of origin geometry (centroid vs mesh),yes,Confirm exact NLNI railway/station layer and vintage; define origin geometry,Core accessibility variable; do not download yet
ODV_012,transit_accessibility,Rail station density,density,Number of stations per unit area,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,National GIS incl. Tokyo region,Stations per municipality/mesh,Layer-specific vintage,Vintage varies by layer,NLNI download site (station layer + boundaries),GIS files (Shapefile/GeoJSON/GML),Count station points within boundary polygons,Spatial count of stations per area; divide by area,station_density = station_count / area_km2,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P2_supporting_variable,Sensitive to boundary choice and area denominator,yes,Confirm station layer and boundary/area layers; align CRS,Supporting accessibility variable
ODV_013,transit_accessibility,Rail line / station spatial layer,spatial_layer,Availability of rail line and station geometry,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,transit_accessibility,National GIS incl. Tokyo region,Lines and points,Layer-specific vintage,Vintage varies by layer,NLNI download site,GIS files (Shapefile/GeoJSON/GML),Base geometry for ODV_011/ODV_012,Identify and retain rail line/station layers as inputs,Spatial layer input (not itself a measure),NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P1_core_spatial_layer,Per-layer vintage and terms to verify,yes,"Confirm exact railway layer names, vintage, and per-layer license",Input layer for transit variables
ODV_014,service_accessibility,Distance to nearest public service facility,distance_accessibility,Distance to nearest medical/welfare/school facility,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,service_accessibility,National GIS incl. Tokyo region,Facility points to area centroid/grid,Layer-specific vintage,Vintage varies by layer,NLNI download site (facility layers),GIS files (Shapefile/GeoJSON/GML),Spatial proximity to facility points,Download facility layer; compute nearest-distance,nearest_facility_distance = min distance to facility point,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,partial_feasibility_needs_manual_check,P2_supporting_variable,Facility-layer completeness and vintage vary by facility type,yes,Confirm which NLNI facility layers (medical/welfare/school) exist and vintage,Quantitative service-access option distinct from policy context
ODV_015,multilingual_administrative_services,Multilingual living-information availability context,service_context,Availability/scope of multilingual living information,R02_OFF_TGT_013,Tokyo Metropolitan Foundation Tsunagari,Tokyo Metropolitan Foundation Tsunagari / Tokyo multilingual living information,multilingual_administrative_services,Tokyo Metropolis,Metropolitan service context,Current,Current,Official web page (manual browser check required),Web pages (not downloaded),Not spatial (qualitative context),Manual review of live page after access is restored,Qualitative multilingual-service context,Unconfirmed (page not reachable in sandbox),hold_due_to_access_or_license_uncertainty,hold,Live page not reachable in sandbox (SSL UNEXPECTED_EOF); content unconfirmed,yes,Open TSUNAGARI in a normal browser; confirm resources and license before any use,Identity/relevance sound but held; do not invent service point data
ODV_016,multilingual_administrative_services,Foreign-resident support infrastructure context,service_context,Presence of municipal multilingual support resources,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,multilingual_administrative_services,Japan nationwide local governments,National / municipal policy context,Current,Current,Official web page,Web pages / policy resources (not downloaded),Not spatial (qualitative context),Identify specific citable resources,Qualitative service/policy context,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P2_context,Context only; not direct variable construction unless a specific dataset is identified,yes,Identify specific CLAIR multicultural resources to cite as context,Complements CLAIR periodical R02_NDL_OFF_002
ODV_017,municipal_policy_context,Municipal internationalization / multicultural coexistence context,policy_context,Background on municipal internationalization policy,R02_NDL_OFF_002,Council of Local Authorities for International Relations (CLAIR),Local Government and International Relations Forum (CLAIR periodical),municipal_policy_context,Japan nationwide local governments,National (periodical),Periodical issues,e.g. 2005 record; issues to select,NDL metadata record (full text not downloaded),Periodical (NDL metadata only),Not spatial (background),Optional review of specific issues,Background context only,NDL metadata; access/license unverified,context_only_not_variable_ready,P3_background,Background only; not Tokyo-China specific; not data-ready,optional,Optionally cite specific CLAIR forum issues as background,Metadata-only; complements live portal R02_OFF_TGT_016
ODV_018,education_childcare_welfare_health_context,Foreign child education support context,service_context,Availability of foreign-child education support,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,education_childcare_welfare_health_context,Japan nationwide local governments,National / municipal policy context,Current,Current,Official web page,Web pages (not downloaded),Not spatial (qualitative context),Identify specific education-support resources,Qualitative education-support context,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P2_context,Context-only unless specific municipal datasets are identified,yes,Priority official set lacks MEXT CLARINET/MHLW; identify municipal datasets if needed later,TSUNAGARI (013) is a secondary but held source for this dimension
ODV_019,education_childcare_welfare_health_context,Welfare/health multilingual support context,service_context,Availability of multilingual welfare/health support,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,education_childcare_welfare_health_context,Japan nationwide local governments,National / municipal policy context,Current,Current,Official web page,Web pages (not downloaded),Not spatial (qualitative context),Identify specific welfare/health support resources,Qualitative welfare/health context,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P3_background,Context-only; no quantitative variable from priority set,yes,Identify municipal welfare/health datasets if this dimension is pursued,TSUNAGARI (013) secondary but held
ODV_020,disaster_risk_exposure,Flood hazard exposure indicator,binary_indicator,Whether area intersects mapped flood-inundation zone,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,disaster_risk_exposure,National GIS incl. Tokyo region,Polygon hazard zone vs area,Hazard designation vintage,Vintage varies,NLNI flood-zone layer (Hazard Map Portal R02_OFF_TGT_011 for reference),GIS files (Shapefile/GeoJSON/GML),Spatial overlay of hazard polygons with area units,Download flood-zone layer; overlay with boundaries; flag intersection/share,flood_exposure = 1 if area intersects flood zone (or share of area in zone),NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P1_core_variable,Multiple flood scenarios/depths; choice of threshold affects indicator,yes,"Confirm exact NLNI flood-zone (shinsui sotei kuiki) layer, scenario, and license",Exposure data best via NLNI; portal R02_OFF_TGT_011 for cross-reference
ODV_021,disaster_risk_exposure,Hazard zone spatial layer (flood/sediment/storm-surge/tsunami),spatial_layer,Availability of hazard zone geometries,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,disaster_risk_exposure,National GIS incl. Tokyo region,Polygon hazard zones,Hazard designation vintage,Vintage varies,NLNI / Hazard Map Portal (R02_OFF_TGT_011),GIS files / portal overlays,Base geometry for ODV_020/ODV_022,Identify hazard layers per hazard type; retain as inputs,Spatial layer input (not itself a measure),NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,partial_feasibility_needs_manual_check,P1_core_spatial_layer,Portal access intermittent in sandbox; downloadable vs view-only to confirm,yes,"Confirm downloadable hazard layers, per-type vintage, and license; re-check portal access",Hazard Map Portal R02_OFF_TGT_011 is the catalogue; NLNI is the more direct download
ODV_022,disaster_risk_exposure,Landslide / sediment disaster risk context,categorical_context,Sediment-disaster hazard classification for area,R02_OFF_TGT_011,MLIT / GSI,Hazard Map Portal Site,disaster_risk_exposure,Japan by municipality incl. Tokyo region,Polygon/zone vs area,Hazard designation vintage,Vintage varies,Hazard Map Portal (underlying data via NLNI),Web map overlays; downloadable layers TBD,Spatial overlay with area units,Identify sediment-hazard layer; classify area exposure,sediment_risk_class derived from hazard designation,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,partial_feasibility_needs_manual_check,P2_supporting_variable,Downloadable vs view-only unclear; portal access intermittent,yes,Confirm sediment-hazard layer availability and license via NLNI,Supporting risk variable
ODV_023,disaster_risk_exposure,Disaster-prevention / evacuation context,policy_context,Disaster-prevention and evacuation guidance context,R02_OFF_TGT_010,Tokyo Metropolitan Government (Sogo Bosaibu),Tokyo Metropolitan Government Disaster Prevention website,disaster_risk_exposure,Tokyo Metropolis,Metropolitan / policy,Current,Current,Official web page,Web pages / guidance (not a primary dataset),Not spatial (qualitative context),Summarize disaster-prevention and multilingual disaster info,Qualitative disaster-prevention context,Official site terms; open-data terms per item to confirm,context_only_not_variable_ready,P1_core_context,"Context/guidance, not a primary downloadable dataset",yes,Use as disaster context; draw quantitative exposure from NLNI/portal,Context complement to ODV_020/ODV_021
ODV_024,spatial_reference,Administrative boundary layer,spatial_layer,Municipality/ward boundary geometry,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,spatial_reference,National GIS incl. Tokyo region,Polygon (municipality/ward),Layer-specific vintage,Vintage varies by layer,NLNI download site (administrative boundary layer),GIS files (Shapefile/GeoJSON/GML),Primary spatial join key (municipality code) and geometry,Identify boundary layer; standardize codes/CRS,Boundary geometry + join key for all spatial joins,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P1_core_spatial_layer,Boundary vintage must match statistical-year codes,yes,Confirm NLNI administrative boundary layer and vintage matching statistics years,Foundational layer for joins and area
ODV_025,spatial_reference,Municipality / ward area denominator,spatial_layer,Area (km2) per municipality/ward,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,spatial_reference,National GIS incl. Tokyo region,Polygon area,Layer-specific vintage,Vintage varies by layer,Derived from administrative boundary layer (ODV_024),GIS-derived area,Municipality code,Compute polygon area in projected CRS,area_km2 used as denominator for densities,NLNI Terms of Use (Kokudo Suchi Joho Riyo Yakkan); attribution; per-layer terms vary,medium_feasibility,P1_core_spatial_layer,Area depends on CRS/projection choice,yes,Confirm projected CRS for area computation; GSI (006) for reference,Denominator for ODV_006/ODV_012; GSI R02_OFF_TGT_006 as reference
ODV_026,spatial_reference,Base map / coordinate reference,spatial_layer,Base map tiles and geospatial reference,R02_OFF_TGT_006,Geospatial Information Authority of Japan (GSI),GSI Maps / base maps,spatial_reference,Japan base maps incl. Tokyo region,Basemap tiles + fundamental vector data,Continuously maintained,Vintage per product,GSI site / GSI Maps; Fundamental Geospatial Data (registration),Map tiles + vector,CRS/geocoding reference for all layers,Set common CRS; use for geocoding/reference,Spatial reference framework (not a measure),GSI Terms of Use (Kokudo Chiriin Riyo Kiyaku); tiles attribution; Fundamental data needs registration,medium_feasibility,P1_core_spatial_layer,Tile vs Fundamental data terms differ; registration may be required,yes,Confirm tiles vs Fundamental Geospatial Data terms and registration before derived use,Reachable only via legacy-TLS in sandbox
ODV_027,opportunity_risk_composite,Housing opportunity component (planning),index_component,Planned component summarizing housing opportunity,R02_OFF_TGT_007,"Tokyo Metropolitan Government, Bureau of Housing Policy",Tokyo Metropolitan Government Bureau of Housing Policy,opportunity_risk_composite,Tokyo Metropolis / analysis unit,Analysis unit (TBD),Planning only,Planning only,To be defined after housing variables are confirmed,Planning (no data),Depends on housing variables (ODV_008/009/010),To be defined: select inputs and weighting,Composite logic to be defined later (transparent weighting/typology),,not_ready_for_analysis,hold,No computed variable; weighting/typology not defined,yes,Define inputs and weighting after housing variables are confirmed,Planning row only; not a computed variable
ODV_028,opportunity_risk_composite,Accessibility opportunity component (planning),index_component,Planned component summarizing accessibility opportunity,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Analysis unit (TBD),Analysis unit (TBD),Planning only,Planning only,To be defined after accessibility variables are confirmed,Planning (no data),Depends on transit/service variables (ODV_011-014),To be defined: combine accessibility measures,Composite logic to be defined later,,partial_feasibility_needs_manual_check,hold,Inputs feasible but composite weighting not defined,yes,Define accessibility inputs and combination rule later,Planning row only
ODV_029,opportunity_risk_composite,Service opportunity component (planning),index_component,Planned component summarizing service opportunity,R02_OFF_TGT_016,Council of Local Authorities for International Relations (CLAIR),CLAIR Multicultural Coexistence Portal,opportunity_risk_composite,Analysis unit (TBD),Analysis unit (TBD),Planning only,Planning only,To be defined after service indicators are confirmed,Planning (no data),Depends on service/multilingual context (ODV_015/016/018),To be defined: operationalize service context,Composite logic to be defined later,,not_ready_for_analysis,hold,Service inputs are largely context-only; quantification uncertain,yes,Determine whether service context can be operationalized before inclusion,Planning row only
ODV_030,opportunity_risk_composite,Disaster/risk exposure component (planning),index_component,Planned component summarizing disaster/risk exposure,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Analysis unit (TBD),Analysis unit (TBD),Planning only,Planning only,To be defined after hazard variables are confirmed,Planning (no data),Depends on hazard variables (ODV_020/021/022),To be defined: combine hazard exposures,Composite logic to be defined later,,partial_feasibility_needs_manual_check,hold,Hazard inputs feasible via NLNI but weighting not defined,yes,Define hazard inputs and exposure scoring later,Planning row only
ODV_031,opportunity_risk_composite,Opportunity-risk mismatch typology (planning),index_component,Planned typology classifying opportunity-risk mismatch,R02_OFF_TGT_005,MLIT National Land Numerical Information,National Land Numerical Information download site,opportunity_risk_composite,Analysis unit (TBD),Analysis unit (TBD),Planning only,Planning only,To be defined after all components are confirmed,Planning (no data),Depends on ODV_027-030,To be defined: typology/threshold logic,Typology logic to be defined later (transparent rules),,not_ready_for_analysis,hold,Typology requires all components and transparent classification rules,yes,Define typology rules after components are constructed,Planning row only; central construct of the project
