inventory_id,source_id,source_name,institution,source_domain,official_status,verified_status,current_access_status,stable_landing_page_or_catalogue_url,license_or_terms_status,data_download_required_later,api_available_or_possible,expected_data_type,expected_file_or_access_format,expected_spatial_granularity,expected_temporal_granularity,expected_geographic_coverage,expected_key_fields_or_layers,project_dimension_supported,candidate_variable_or_use,chinese_specific_relevance,non_chinese_foreign_comparison_relevance,housing_relevance,accessibility_relevance,service_relevance,disaster_risk_relevance,basemap_or_reference_relevance,policy_context_relevance,analysis_readiness,remaining_manual_checks,risk_level,recommended_next_action,notes
ODU_011,R02_OFF_TGT_007,Tokyo Metropolitan Government Bureau of Housing Policy,"Tokyo Metropolitan Government, Bureau of Housing Policy",housing,official,verified_by_official_page,reachable_http_200,https://www.juutakuseisaku.metro.tokyo.lg.jp/,web_content_terms_to_confirm_manually,no,no,web_pages_and_documents,html_pdf,context_not_gridded,current_policy_snapshot,tokyo_metropolis,housing policy and public (Toei) housing information and consultation,housing_context,Public/affordable housing policy context for the housing module,indirect,indirect,yes,no,indirect,no,no,yes,context_only,confirm whether any structured public-housing location/stock data exists; otherwise treat as policy context,low,keep_as_policy_context,Context source; not a spatial dataset by default.
ODU_012,R02_OFF_TGT_008,Urban Renaissance Agency (UR rental housing),Urban Renaissance Agency (UR),housing,quasi_official,verified_by_official_page,reachable_http_200,https://www.ur-net.go.jp/,web_content_terms_to_confirm_manually,no,no,web_pages_and_documents,html_pdf,estate_level_context,current_policy_snapshot,national_incl_tokyo_region,UR rental estate information,housing_context,Public rental estate context (estates often house foreign residents),indirect,indirect,yes,no,indirect,no,no,yes,context_only,confirm whether estate locations are available as structured data; otherwise context only,low,keep_as_policy_context,Quasi-official housing infrastructure context.
ODU_013,R02_OFF_TGT_009,JKK Tokyo (Tokyo Metropolitan Housing Supply Corporation),Tokyo Metropolitan Housing Supply Corporation (JKK),housing,quasi_official,verified_by_official_page,reachable_http_200,https://www.to-kousya.or.jp/,web_content_terms_to_confirm_manually,no,no,web_pages_and_documents,html_pdf,estate_level_context,current_policy_snapshot,tokyo_metropolis,public/affordable rental housing supply and management info,housing_context,Tokyo public/affordable rental housing context,indirect,indirect,yes,no,indirect,no,no,yes,context_only,confirm whether structured stock/location data exists; otherwise context only,low,keep_as_policy_context,Quasi-official Tokyo housing supply context.
ODU_014,R02_OFF_TGT_010,Tokyo Metropolitan Government Disaster Prevention website,Tokyo Metropolitan Government,disaster_risk,official,verified_by_official_page,reachable_http_200,https://www.bousai.metro.tokyo.lg.jp/,web_content_terms_to_confirm_manually,no,no,web_pages_and_multilingual_documents,html_pdf_multilingual,metropolis_level_context,current,tokyo_metropolis,"disaster prevention, evacuation guidance, multilingual disaster information",disaster_risk_exposure;multilingual_service_context,Disaster risk-communication and evacuation context for the risk module,indirect,indirect,no,no,yes,yes,no,yes,context_only,confirm whether any downloadable hazard/exposure data exists; otherwise risk-communication context,low,keep_as_policy_context,"Primarily risk-communication/context, not a clean spatial dataset."
ODU_015,R02_OFF_TGT_011,Hazard Map Portal Site,MLIT / Geospatial Information Authority of Japan (GSI),disaster_risk,official,verified_by_official_catalogue,reachable_http_200,https://disaportal.gsi.go.jp/,terms_to_confirm_manually_export_format_unclear,yes,possible_wms_or_tile_clean_export_unclear,hazard_map_layers_and_documents,web_viewer_possibly_gis_export_unclear,municipality_to_mesh,current_published_hazard_maps,national_by_municipality_incl_tokyo,"candidate hazard layers: flood, sediment/landslide, storm surge, tsunami (exact layers and export to confirm)",disaster_risk_exposure,Disaster/hazard exposure overlay for the risk module,no,no,no,no,no,yes,indirect,no,browser_manual_check_needed,manually check whether clean downloadable GIS hazard layers are available or only a map viewer; confirm license before any download,high,manual_browser_check,High value but clean GIS export uncertain; cross-check NLNI hazard layers (ODU_009).
ODU_016,R02_OFF_TGT_012,Cabinet Office Disaster Management website,Cabinet Office (Disaster Management),disaster_risk,official,verified_by_official_page,reachable_http_200,https://www.bousai.go.jp/,web_content_terms_to_confirm_manually,no,no,policy_documents,html_pdf,national_context,current_policy,national,national disaster-management policy and guidance incl. vulnerable populations,policy_context,Risk-policy interpretation context (foreign residents/vulnerable groups),indirect,indirect,no,no,indirect,indirect,no,yes,context_only,identify specific guidance pages on foreign residents; treat as policy context,low,keep_as_policy_context,Policy/interpretation context only.
ODU_017,R02_OFF_TGT_013,Tokyo multilingual living information (TSUNAGARI Foundation),Tokyo Metropolitan Foundation Tsunagari,multilingual_service,quasi_official,hold_for_manual_check,tls_unreachable_in_sandbox_recheck_needed,https://www.tsunagari-tokyo.jp/,terms_to_confirm_manually_pending_access,no,no,multilingual_web_information,html_multilingual,metropolis_level_context,current,tokyo_metropolis,multilingual living information and foreign-resident support resources,multilingual_service_context,Multilingual administrative/service context for Tokyo foreign residents,indirect,indirect,no,no,yes,indirect,no,yes,access_unclear_hold,"re-verify live page outside sandbox; confirm structure, multilingual resources, and license",high,manual_browser_check,TLS UNEXPECTED_EOF in sandbox; institution identity sound but page unreachable here.
ODU_018,R02_OFF_TGT_014,Tokyo International Communication Committee (TICC),Tokyo International Communication Committee (TICC),multilingual_service,quasi_official,verified_by_official_page,reachable_http_200,https://www.tokyo-icc.jp/,web_content_terms_to_confirm_manually,no,no,multilingual_web_information,html_multilingual,metropolis_level_context,current,tokyo_metropolis,international exchange and foreign-resident support information,multilingual_service_context,Multilingual service context for Tokyo,indirect,indirect,no,no,yes,no,no,yes,context_only,confirm specific multilingual resource pages relevant to the service module,low,keep_as_service_context,Service-infrastructure context; not analyzable spatial data.
ODU_019,R02_OFF_TGT_015,Support Portal for Foreign Residents (ISA),Immigration Services Agency of Japan (ISA),multilingual_service,official,verified_by_official_page,reachable_http_200,https://www.moj.go.jp/isa/support/portal/index.html,web_content_terms_to_confirm_manually,no,no,multilingual_web_information,html_multilingual,national_context,current,national_multilingual,"multilingual administrative-service guidance (living, work, disaster, health, education)",multilingual_service_context,National multilingual service-access context,indirect,indirect,indirect,no,yes,indirect,no,yes,context_only,identify service categories useful as context; not a dataset,low,keep_as_service_context,National multilingual service context.
ODU_020,R02_OFF_TGT_016,CLAIR Multicultural Coexistence Portal,Council of Local Authorities for International Relations (CLAIR),multilingual_service,quasi_official,verified_by_official_page,reachable_http_200,https://www.clair.or.jp/,web_content_terms_to_confirm_manually,no,no,multilingual_policy_resources,html_pdf_multilingual,national_municipal_context,current,national_local_governments,municipal multicultural-coexistence and multilingual resources,multilingual_service_context;policy_context,Municipal multicultural-coexistence policy/service context,indirect,indirect,no,no,yes,no,no,yes,context_only,identify resources relevant to Tokyo-region municipalities; treat as context,low,keep_as_service_context,Complements CLAIR periodical R02_NDL_OFF_002; service/policy context.
