inspection_id,source_id,source_name,institution,inspection_domain,inspection_target_type,candidate_table_or_layer_name,official_catalogue_or_landing_url,official_api_or_download_page_url,official_terms_or_license_url,project_dimension_supported,candidate_variable_or_output,required_geographic_scope,required_spatial_unit_or_resolution,required_time_period,expected_key_fields,expected_geometry_type,expected_file_or_access_format,chinese_specific_requirement,non_chinese_foreign_comparison_requirement,planned_check_steps,download_needed_later,large_download_risk,license_check_needed,manual_browser_check_needed,automation_feasibility,priority,risk_level,blocking_issue,recommended_next_action,notes
ITL_011,R02_OFF_TGT_007,Tokyo Metropolitan Government Bureau of Housing Policy,"Tokyo Metropolitan Government, Bureau of Housing Policy",land_use_or_housing_context_layer,policy_information_page,Tokyo housing policy and public (Toei) housing information pages,https://www.juutakuseisaku.metro.tokyo.lg.jp/,https://www.juutakuseisaku.metro.tokyo.lg.jp/,https://www.juutakuseisaku.metro.tokyo.lg.jp/,housing_context,public/affordable housing policy context for the housing module,Tokyo Metropolis,context (not gridded),current policy snapshot,policy_topic; program_name; consultation_info,none,html_pdf,none (context); no nationality data expected,none (context),"confirm whether any structured public-housing stock/location data exists; if not, keep as policy context; confirm web terms; do NOT download datasets",no,low,yes,yes,manual_only,P3_context_only,low,"likely policy text, not a spatial dataset",keep_as_context_only,Maps to inventory ODU_011. Policy/context unless structured location data found.
ITL_012,R02_OFF_TGT_008,Urban Renaissance Agency (UR rental housing),Urban Renaissance Agency (UR),land_use_or_housing_context_layer,service_information_page,UR rental estate information pages (estate-level context),https://www.ur-net.go.jp/,https://www.ur-net.go.jp/,https://www.ur-net.go.jp/,housing_context,public rental estate context (estates often house foreign residents),Tokyo metropolitan region,estate-level context,current snapshot,estate_name; location; rental_info,none,html_pdf,none (context),none (context),confirm whether estate locations are available as structured data; otherwise context only; confirm web terms; do NOT scrape,no,low,yes,yes,manual_only,P3_context_only,low,structured estate-location data uncertain; quasi-official context,keep_as_context_only,Maps to inventory ODU_012. Quasi-official housing context.
ITL_013,R02_OFF_TGT_005,NLNI candidate layer family: disaster/hazard-related layers,MLIT National Land Numerical Information (NLNI),disaster_or_hazard_layer,GIS_layer,"NLNI hazard/disaster candidate layer family (e.g. flood, sediment/landslide zones; exact layer id to confirm)",https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,disaster_risk_exposure,hazard exposure overlay for the risk module (flood/sediment/etc.),"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",polygon or mesh,most recent published hazard snapshot,hazard_type; hazard_class; polygon_or_mesh_id; vintage,polygon_or_mesh,shapefile_geojson_or_gml,none (hazard layer); overlaid with population later,none (hazard layer),"open exact NLNI hazard-related layer page; confirm hazard type (flood/landslide/tsunami/etc.), vintage, methodology, and license; cross-check with Hazard Map Portal; do NOT download",yes_later,medium,yes,yes,download_scriptable_after_inspection,P2_needed_before_modeling,medium,hazard types present in catalogue must be confirmed; only use hazards actually present,inspect_exact_layer,Maps to inventory ODU_009. Candidate layer family only; cross-check ODU_015 Hazard Portal.
ITL_014,R02_OFF_TGT_011,Hazard Map Portal Site,MLIT / Geospatial Information Authority of Japan (GSI),disaster_or_hazard_layer,web_map,"Hazard Map Portal candidate hazard layers (flood, sediment/landslide, storm surge, tsunami; clean GIS export to confirm)",https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/,disaster_risk_exposure,hazard exposure overlay if clean GIS export or tile/WMS access is available,"Tokyo metropolitan region (Tokyo, Saitama, Chiba, Kanagawa)",municipality to mesh,current published hazard maps,hazard_type; layer_name; access_method; export_format,polygon_or_raster_via_viewer,web_viewer_possibly_tile_or_gis_export_unclear,none (hazard layer),none (hazard layer),manually check in a browser whether clean downloadable GIS hazard layers (or tile/WMS) exist or only a map viewer; record which hazards are exportable; confirm license before any download; do NOT download GIS files yet,conditional,high,yes,yes,manual_browser_check_first,P1_blocking_before_download,high,viewer-only access could prevent clean downloadable GIS exposure layers; export format unclear,manual_browser_check,Maps to inventory ODU_015. High value but clean GIS export uncertain; fallback to NLNI ITL_013.
ITL_015,R02_OFF_TGT_010,Tokyo Metropolitan Government Disaster Prevention website,Tokyo Metropolitan Government,policy_context,policy_information_page,Tokyo disaster-prevention and multilingual evacuation guidance pages,https://www.bousai.metro.tokyo.lg.jp/,https://www.bousai.metro.tokyo.lg.jp/,https://www.bousai.metro.tokyo.lg.jp/,disaster_risk_exposure;multilingual_service_context,disaster risk-communication and evacuation context for the risk module,Tokyo Metropolis,metropolis-level context,current,guidance_topic; multilingual_resource; evacuation_info,none,html_pdf_multilingual,check for Chinese-language disaster guidance as service context,none (context),"confirm whether any downloadable hazard/exposure data exists; if not, keep as risk-communication context; confirm web terms; do NOT download",no,low,yes,yes,manual_only,P3_context_only,low,"primarily risk-communication context, not a clean spatial dataset",keep_as_context_only,Maps to inventory ODU_014. Policy/context source for risk module.
ITL_016,R02_OFF_TGT_013,Tokyo multilingual living information (TSUNAGARI Foundation),Tokyo Metropolitan Foundation Tsunagari,multilingual_service_context,service_information_page,TSUNAGARI multilingual living information and foreign-resident support pages,https://www.tsunagari-tokyo.jp/,https://www.tsunagari-tokyo.jp/,https://www.tsunagari-tokyo.jp/,multilingual_service_context,multilingual administrative/service context for Tokyo foreign residents,Tokyo Metropolis,metropolis-level context,current,service_topic; language_coverage; support_resource,none,html_multilingual,check for Chinese-language service resources as context,none (context),"manual browser check to re-verify live page (TLS unreachable in sandbox); confirm structure, multilingual resources, and license; check for any analyzable location data; if none, context only; do NOT scrape",no,low,yes,yes,manual_browser_check_first,P3_context_only,high,TLS unreachable in sandbox; live page needs manual confirmation; likely context-only not POI data,manual_browser_check,Maps to inventory ODU_017. Access unclear hold; recheck outside sandbox.
ITL_017,R02_OFF_TGT_014,Tokyo International Communication Committee (TICC),Tokyo International Communication Committee (TICC),multilingual_service_context,service_information_page,TICC international-exchange and foreign-resident support information pages,https://www.tokyo-icc.jp/,https://www.tokyo-icc.jp/,https://www.tokyo-icc.jp/,multilingual_service_context,multilingual service context for Tokyo,Tokyo Metropolis,metropolis-level context,current,service_topic; language_coverage; support_resource,none,html_multilingual,check for Chinese-language resources as context,none (context),"confirm specific multilingual resource pages relevant to the service module; check for analyzable location data; if none, context only; confirm web terms; do NOT scrape",no,low,yes,yes,manual_only,P3_context_only,low,service-infrastructure context; not analyzable spatial data unless POI found,keep_as_context_only,Maps to inventory ODU_018. Already registered; context-only.
ITL_018,R02_OFF_TGT_016,CLAIR Multicultural Coexistence Portal,Council of Local Authorities for International Relations (CLAIR),multilingual_service_context,service_information_page,CLAIR multicultural-coexistence and multilingual resource pages,https://www.clair.or.jp/,https://www.clair.or.jp/,https://www.clair.or.jp/,multilingual_service_context;policy_context,municipal multicultural-coexistence policy/service context,National / Tokyo-region local governments,national-municipal context,current,resource_topic; municipality_relevance; language_coverage,none,html_pdf_multilingual,check for Chinese-language municipal resources as context,none (context),identify resources relevant to Tokyo-region municipalities; treat as context; confirm web terms; do NOT scrape,no,low,yes,yes,manual_only,P3_context_only,low,policy/service context; not analyzable spatial data,keep_as_context_only,Maps to inventory ODU_020. Already registered; context-only.
ITL_019,R02_OFF_TGT_015,Support Portal for Foreign Residents (ISA),Immigration Services Agency of Japan (ISA),multilingual_service_context,service_information_page,ISA multilingual administrative-service guidance pages,https://www.moj.go.jp/isa/support/portal/index.html,https://www.moj.go.jp/isa/support/portal/index.html,https://www.moj.go.jp/isa/support/portal/index.html,multilingual_service_context,"national multilingual service-access context (living, work, disaster, health, education)",National (multilingual),national context,current,service_category; language_coverage; guidance_topic,none,html_multilingual,check for Chinese-language service categories as context,none (context),identify service categories useful as context; not a dataset; confirm web terms; do NOT scrape,no,low,yes,no,manual_only,P3_context_only,low,national multilingual service context; not analyzable spatial data,keep_as_context_only,Maps to inventory ODU_019. Already registered; context-only.
ITL_020,R02_OFF_TGT_001,e-Stat terms of use (Government Standard Terms of Use),Statistics Bureau of Japan / MIC (e-Stat),terms_or_license_check,terms_page,e-Stat Government Standard Terms of Use (Seifu Hyojun Riyo Kiyaku) page,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,terms_and_license,confirmation that reuse/redistribution/attribution terms permit the planned analysis,not applicable,not applicable,current terms,license_name; attribution_requirement; commercial_use; redistribution,none,html,not applicable,not applicable,open e-Stat terms-of-use page; confirm CC BY 4.0 compatibility and per-table applicability; record license note before any download,no,low,yes,yes,manual_only,P1_blocking_before_download,low,per-table applicability of standard terms must be confirmed before download,inspect_license_before_download,Covers ITL_001/002 population tables. Government Standard Terms of Use.
ITL_021,R02_OFF_TGT_002,ISA statistics terms (distributed via e-Stat),Immigration Services Agency of Japan (ISA),terms_or_license_check,terms_page,ISA resident-statistics terms as distributed through e-Stat,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_touroku.html,https://www.e-stat.go.jp/,https://www.e-stat.go.jp/,terms_and_license,confirmation that ISA statistics reuse terms (via e-Stat) permit the planned analysis,not applicable,not applicable,current terms,license_name; attribution_requirement; redistribution,none,html,not applicable,not applicable,confirm ISA tables inherit e-Stat Government Standard Terms of Use; record license note before any download,no,low,yes,yes,manual_only,P1_blocking_before_download,low,confirm ISA-via-e-Stat terms applicability per table,inspect_license_before_download,Covers ITL_003 ISA tables. Distributed via e-Stat.
ITL_022,R02_OFF_TGT_005,NLNI terms of use (Kokudo Suchi Joho Riyo Yakkan),MLIT National Land Numerical Information (NLNI),terms_or_license_check,terms_page,NLNI Terms of Use page (per-layer terms),https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,https://nlftp.mlit.go.jp/ksj/,terms_and_license,confirmation that NLNI per-layer terms permit reuse for the planned layers,not applicable,not applicable,current terms,license_name; attribution_requirement; per_layer_conditions,none,html,not applicable,not applicable,"open NLNI terms page; confirm attribution and per-layer conditions for boundaries, railways/stations, land use, facilities, and hazard layers before any download",no,low,yes,yes,manual_only,P1_blocking_before_download,low,per-layer terms vary; confirm for each NLNI layer used,inspect_license_before_download,Covers ITL_006/008/009/010/013 NLNI layer families.
ITL_023,R02_OFF_TGT_006,GSI terms of use (Kokudo Chiriin Riyo Kiyaku),Geospatial Information Authority of Japan (GSI),terms_or_license_check,terms_page,GSI Terms of Use / Fundamental Geospatial Data conditions page,https://www.gsi.go.jp/,https://www.gsi.go.jp/,https://www.gsi.go.jp/,terms_and_license,confirmation that GSI tile/basemap and Kiban Chizu Joho terms permit derived use,not applicable,not applicable,current terms,license_name; attribution_requirement; registration_requirement,none,html,not applicable,not applicable,open GSI terms page; confirm tile attribution and Fundamental Geospatial Data registration/derived-use conditions before any download,no,low,yes,yes,manual_only,P2_needed_before_modeling,low,Fundamental Geospatial Data may require registration; confirm derived-use terms,inspect_license_before_download,Covers ITL_007 GSI basemap/reference products.
ITL_024,R02_OFF_TGT_011,Hazard Map Portal terms / export conditions,MLIT / Geospatial Information Authority of Japan (GSI),terms_or_license_check,terms_page,Hazard Map Portal terms and export/redistribution conditions page,https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/,https://disaportal.gsi.go.jp/,terms_and_license,confirmation of whether hazard layers may be exported/redistributed and under what terms,not applicable,not applicable,current terms,license_name; export_permission; source_attribution,none,html,not applicable,not applicable,manually check Hazard Map Portal terms and whether clean GIS export is permitted; confirm underlying source/license per hazard before any download,no,low,yes,yes,manual_browser_check_first,P1_blocking_before_download,high,export format and license unclear; viewer-only access possible,inspect_license_before_download,Covers ITL_014 Hazard Map Portal. Cross-check NLNI hazard terms (ITL_022).
ITL_025,R02_OFF_TGT_013,TSUNAGARI / service pages terms,Tokyo Metropolitan Foundation Tsunagari (and other service pages),terms_or_license_check,terms_page,TSUNAGARI and other multilingual service-page web terms,https://www.tsunagari-tokyo.jp/,https://www.tsunagari-tokyo.jp/,https://www.tsunagari-tokyo.jp/,terms_and_license,confirmation of web-content terms before any reuse of service-page material,not applicable,not applicable,current terms,web_terms; reuse_permission; attribution,none,html,not applicable,not applicable,manual browser check of TSUNAGARI and related service-page terms once reachable; confirm reuse permission; treat as context unless analyzable data confirmed; do NOT scrape,no,low,yes,yes,manual_browser_check_first,P3_context_only,high,TSUNAGARI unreachable in sandbox; service-page terms need manual confirmation,inspect_license_before_download,Covers ITL_016/017/018/019 service/context pages.
