municipality_code,municipality_name,prefecture,in_v5_features,rail_accessibility_available,housing_cost_available,population_density_available,commercial_density_available,gap_reason,recommended_gap_action
12427,長南町,12,YES,YES,YES,YES,NO,in_v5_full,use_v5
12441,大多喜町,12,NO,YES,NO,NO,NO,chiba_boso_or_eastern_city_town_village,backfill_rail_only_construct_housing_density_from_official
12443,御宿町,12,NO,NO,NO,NO,NO,chiba_boso_or_eastern_city_town_village,construct_all_from_official_or_gis
12463,鋸南町,12,NO,YES,NO,NO,NO,chiba_boso_or_eastern_city_town_village,backfill_rail_only_construct_housing_density_from_official
13101,千代田区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13102,中央区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13103,港区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13104,新宿区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13105,文京区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13106,台東区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13107,墨田区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13108,江東区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13109,品川区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13110,目黒区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13111,大田区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13112,世田谷区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13113,渋谷区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13114,中野区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13115,杉並区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13116,豊島区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13117,北区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13118,荒川区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13119,板橋区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13120,練馬区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13121,足立区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13122,葛飾区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13123,江戸川区,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13201,八王子市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13202,立川市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13203,武蔵野市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13204,三鷹市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13205,青梅市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13206,府中市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13207,昭島市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13208,調布市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13209,町田市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13210,小金井市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13211,小平市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13212,日野市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13213,東村山市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13214,国分寺市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13215,国立市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13218,福生市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13219,狛江市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13220,東大和市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13221,清瀬市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13222,東久留米市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13223,武蔵村山市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13224,多摩市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13225,稲城市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13227,羽村市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13228,あきる野市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13229,西東京市,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13303,瑞穂町,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13305,日の出町,13,YES,YES,YES,YES,NO,in_v5_full,use_v5
13307,檜原村,13,NO,YES,NO,NO,NO,tokyo_mountain_village_town,backfill_rail_only_construct_housing_density_from_official
13308,奥多摩町,13,NO,YES,NO,NO,NO,tokyo_mountain_village_town,backfill_rail_only_construct_housing_density_from_official
13361,大島町,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13362,利島村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13363,新島村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13364,神津島村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13381,三宅村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13382,御蔵島村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13401,八丈町,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13402,青ヶ島村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
13421,小笠原村,13,NO,NO,NO,NO,NO,tokyo_island_municipality,construct_all_from_official_or_gis
14101,横浜市鶴見区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14102,横浜市神奈川区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14103,横浜市西区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14104,横浜市中区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14105,横浜市南区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14106,横浜市保土ケ谷区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14107,横浜市磯子区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14108,横浜市金沢区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14109,横浜市港北区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14110,横浜市戸塚区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14111,横浜市港南区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14112,横浜市旭区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14113,横浜市緑区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14114,横浜市瀬谷区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14115,横浜市栄区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14116,横浜市泉区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14117,横浜市青葉区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14118,横浜市都筑区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14131,川崎市川崎区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14132,川崎市幸区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14133,川崎市中原区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14134,川崎市高津区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14135,川崎市多摩区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14136,川崎市宮前区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14137,川崎市麻生区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14151,相模原市緑区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14152,相模原市中央区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14153,相模原市南区,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14201,横須賀市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14203,平塚市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14204,鎌倉市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14205,藤沢市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14206,小田原市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14207,茅ヶ崎市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14208,逗子市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14210,三浦市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14211,秦野市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14212,厚木市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14213,大和市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14214,伊勢原市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14215,海老名市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14216,座間市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14217,南足柄市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14218,綾瀬市,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14301,葉山町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14321,寒川町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14341,大磯町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14342,二宮町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14361,中井町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14362,大井町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14363,松田町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14364,山北町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14366,開成町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14382,箱根町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14383,真鶴町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14384,湯河原町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14401,愛川町,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
14402,清川村,14,YES,YES,YES,YES,NO,in_v5_full,use_v5
