inventory_id,path,location_type,exists,is_tracked_by_git,git_status,file_or_directory,extension,size_bytes,last_modified_local,in_ignored_path,in_public_repo_path,likely_data_stage,likely_source_family,likely_variable_family,likely_spatial_unit,likely_year_or_version,likely_crs,can_be_reused_for_current_tokyo_china_workflow,reuse_category,reuse_condition,metadata_record_exists,decision_log_link_exists,needs_new_metadata_record,needs_checksum,needs_license_recheck,needs_exact_table_or_layer_recheck,needs_re_download,should_remain_local_only,public_repo_commit_allowed,risk_level,recommended_action,notes
INV_011,data_raw/N03-20250101_GML,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-15,yes,no,raw,MLIT_NLNI,administrative_boundary,municipality,2025-01-01 (N03),JGD2011 geographic EPSG:6668 (confirm via .prj),yes,reuse_after_metadata_reconstruction,Recent official municipal boundary; strong candidate for DDL_012 area denominator; reconstruct metadata + checksum + license,no,DDL_012/DDL_004,yes,yes,yes,yes,no,yes,no,low,reconstruct_metadata_before_reuse,NLNI N03 admin boundary (with KS-META xml); large shp/geojson; area for density (DDL_013)
INV_012,data_raw/N02-22_GML,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-16,yes,no,raw,MLIT_NLNI,railway_station,point_line,2022 (N02-22),JGD2011 geographic EPSG:6668 (confirm),yes,reuse_after_metadata_reconstruction,Official railway/station layer; supports accessibility; reconstruct metadata + checksum + license,no,DDL_005,yes,yes,yes,no,no,yes,no,low,reconstruct_metadata_before_reuse,NLNI N02 railway layer (2022 vintage); supports nearest-station distance
INV_013,data_raw/landPrice,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-16,yes,no,raw,land_price,housing,point,2024 (L01-24; prefs 11/12/13/14),JGD2011 geographic EPSG:6668 (confirm),yes,reuse_after_metadata_reconstruction,NLNI L01 land-price points for Saitama/Chiba/Tokyo/Kanagawa; supports housing context; reconstruct metadata + license,no,no (no housing DDL row yet),yes,yes,yes,no,no,yes,no,low,reconstruct_metadata_before_reuse,NLNI L01-24 land-price (4 prefectures); old baseline median residential land price proxy
INV_014,data_raw/tokyo_metro_mainland_proj.geojson,repo_untracked_ignored,yes,no,untracked_ignored,file,.geojson,33207942,2026-04-09,yes,no,processed,administrative_boundary,administrative_boundary,municipality,derived (confirm base vintage),projected planar (confirm; *_proj),partial,reuse_after_metadata_reconstruction,Processed projected boundary for old study area; reusable for area denominator if vintage/CRS reconstructed,no,DDL_012,yes,yes,no,yes,no,yes,no,medium,reconstruct_metadata_before_reuse,Processed/projected Tokyo metropolitan mainland boundary; verify it matches the analysis municipality set
INV_015,data_raw/tokyo_pop_with_station_features.csv,repo_untracked_ignored,yes,no,untracked_ignored,file,.csv,27544,2026-04-09,yes,no,processed,foreign_population,foreign_population,municipality,derived (old baseline),NA (tabular),no,reuse_for_context_only,Old all-foreign ratio + nearest-station; NOT Chinese-specific; context only,no,no,maybe,no,no,no,no,yes,no,medium,manual_review_needed,Processed table joining all-foreign population to station accessibility; superseded for Chinese workflow
INV_016,data_raw/tokyo_features_v5_extended_with_density.csv,repo_untracked_ignored,yes,no,untracked_ignored,file,.csv,53541,2026-04-12,yes,no,processed,foreign_population,foreign_population,municipality,derived (latest old feature set),NA (tabular; geojson pair projected),no,reuse_for_context_only,Latest old feature table (all-foreign + density); represents v1..v4 lineage; context only,no,no,maybe,no,no,no,no,yes,no,medium,manual_review_needed,Represents tokyo_features_v1..v5 lineage; density here may derive from simulated layer - verify before any reuse
INV_017,data_raw/tokyo_features_v3_ols.csv,repo_untracked_ignored,yes,no,untracked_ignored,file,.csv,28263,2026-04-10,yes,no,processed,foreign_population,foreign_population,municipality,derived (old OLS-ready),NA (tabular),no,reuse_for_context_only,Old OLS-ready all-foreign feature table; context only,no,no,maybe,no,no,no,no,yes,no,low,ignore_for_current_workflow,Prior OLS-ready features; not for new workflow
INV_018,data_raw/tokyo_mgwr_ready.csv,repo_untracked_ignored,yes,no,untracked_ignored,file,.csv,26851,2026-04-10,yes,no,processed,foreign_population,foreign_population,municipality,derived (old MGWR-ready),NA (tabular),no,reuse_for_context_only,Old MGWR-ready all-foreign table; context only,no,no,maybe,no,no,no,no,yes,no,low,ignore_for_current_workflow,Prior MGWR-ready features; not for new workflow
INV_019,data_raw/tokyo_pop_dissolved.geojson,repo_untracked_ignored,yes,no,untracked_ignored,file,.geojson,28443819,2026-03-15,yes,no,processed,administrative_boundary,foreign_population,municipality,derived (old),confirm,partial,reuse_for_context_only,"Dissolved municipal geometry + population; geometry possibly reusable, attributes are all-foreign",no,no,maybe,no,no,no,no,yes,no,medium,manual_review_needed,Processed dissolved boundary+population; geometry may help but attributes superseded
INV_020,data_raw/case_areas_proj.geojson,repo_untracked_ignored,yes,no,untracked_ignored,file,.geojson,187493,2026-04-09,yes,no,processed,administrative_boundary,administrative_boundary,sub_area,derived (old),projected (confirm),partial,reuse_for_context_only,Old case-area geometry; context only unless matched to new units,no,no,maybe,no,no,no,no,yes,no,low,manual_review_needed,Processed projected case areas
INV_021,data_raw/tokyo_simulated_density.geojson,repo_untracked_ignored,yes,no,untracked_ignored,file,.geojson,243761,2026-03-13,yes,no,processed,unknown,foreign_population,municipality,derived (SIMULATED),confirm,no,do_not_reuse,SIMULATED density - not real official data; must not be used in the empirical workflow,no,no,no,no,no,no,no,yes,no,medium,ignore_for_current_workflow,CAUTION: filename indicates SIMULATED density; do not treat as real data for any Chinese-vs-non-Chinese measure
INV_022,data/raw,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-24,yes,no,unknown,unknown,NA,NA,NA,NA,no,unknown,Empty placeholder directory; nothing to reuse,no,no,no,no,no,no,no,no,no,low,ignore_for_current_workflow,Exists but EMPTY; ignored
INV_023,data/processed,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-24,yes,no,unknown,unknown,NA,NA,NA,NA,no,unknown,Empty placeholder directory; nothing to reuse,no,no,no,no,no,no,no,no,no,low,ignore_for_current_workflow,Exists but EMPTY; ignored
INV_024,data_processed,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-15,yes,no,unknown,unknown,NA,NA,NA,NA,no,unknown,Empty placeholder directory; nothing to reuse,no,no,no,no,no,no,no,no,no,low,ignore_for_current_workflow,Exists but EMPTY; ignored
INV_025,outputs/maps,repo_untracked_ignored,yes,no,untracked_ignored,directory,,,2026-03-15,yes,no,unknown,unknown,NA,NA,NA,NA,no,unknown,Empty placeholder directory; nothing to reuse,no,no,no,no,no,no,no,no,no,low,ignore_for_current_workflow,Exists but EMPTY
INV_026,outputs/tables,repo_untracked_not_ignored,yes,no,untracked,directory,,,2026-03-15,no,no,unknown,unknown,NA,NA,NA,NA,no,unknown,Empty placeholder directory; nothing to reuse,no,no,no,no,no,no,no,no,no,low,ignore_for_current_workflow,Exists but EMPTY
INV_027,outputs/html/index.html,repo_untracked_ignored,yes,no,untracked_ignored,file,.html,797194,2026-03-13,yes,no,script_output,unknown,foreign_population,municipality,unknown,NA,no,reuse_for_context_only,Old interactive output; context only; ignored,no,no,maybe,no,no,no,no,no,no,low,ignore_for_current_workflow,Prior interactive HTML output (ignored)
INV_028,outputs/round_11_target_audit/data_raw_inventory.csv,repo_untracked_ignored,yes,no,untracked_ignored,file,.csv,7707,2026-04-12,yes,no,documentation,unknown,documentation,NA,unknown,NA,partial,reuse_for_context_only,Prior machine inventory of data_raw; useful cross-reference,no,no,maybe,no,no,no,no,no,no,low,manual_review_needed,Prior data_raw inventory CSV (ignored by *.csv); cross-reference for reuse decisions
INV_029,data_interim,missing_expected_location,no,no,missing,missing,,,,NA (missing),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Location does not exist,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Expected repo dir MISSING
INV_030,data_external,missing_expected_location,no,no,missing,missing,,,,NA (missing),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Location does not exist,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Expected repo dir MISSING
INV_031,outputs/model_outputs,missing_expected_location,no,no,missing,missing,,,,NA (missing),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Location does not exist,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Expected repo dir MISSING
INV_032,outputs/diagnostics,missing_expected_location,no,no,missing,missing,,,,NA (missing),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Location does not exist,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Expected repo dir MISSING
INV_033,metadata/population_baseline_manual_verification_results_template.csv,missing_expected_location,no,no,missing,missing,.csv,,,NA (missing),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Location does not exist,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Expected control file MISSING (never created); recommend future creation
INV_034,E:\rsch\laborJapan_local_data,missing_expected_location,no,no,missing,missing,,,,NA (external),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Recommended external raw-data root; MISSING,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Recommended outside-repo data root does not yet exist
INV_035,E:\rsch\laborJapan_local_fulltext,external_local,yes,no,external_not_in_repo,directory,,,2026-06-21,NA (external),no,documentation,unknown,literature_pages,NA,NA,NA,no,reuse_for_context_only,External literature page snapshots; not project data,no,no,maybe,no,no,no,no,yes,no,low,keep_local_only,External; contains round02_manual_check literature page snapshots (NOT statistical data); keep out of repo
INV_036,E:\rsch\laborJapan_local_temp,missing_expected_location,no,no,missing,missing,,,,NA (external),no,unknown,unknown,NA,NA,NA,NA,unknown,unknown,Recommended external temp folder; MISSING,no,no,no,no,no,no,no,no,no,low,manual_review_needed,Recommended outside-repo temp folder does not yet exist
